SampleID	day	Rep	type	trt	group
Fe_d2_2	2	2	fecal	Control	d2_control
Fe_d2_3	2	3	fecal	Control	d2_control
Fe_d2_4	2	4	fecal	Control	d2_control
Fe_d2_5	2	5	fecal	Control	d2_control
Fe_d2_8	2	1	fecal	Oral	d2_oral
Fe_d2_9	2	2	fecal	Oral	d2_oral
Fe_d2_10	2	3	fecal	Oral	d2_oral
Fe_d2_11	2	4	fecal	Oral	d2_oral
Fe_d2_12	2	5	fecal	Oral	d2_oral
Fe_d2_13	2	1	fecal	Rectal	d2_rectal
Fe_d2_14	2	2	fecal	Rectal	d2_rectal
Fe_d2_15	2	3	fecal	Rectal	d2_rectal
Fe_d2_16	2	4	fecal	Rectal	d2_rectal
Fe_d2_17	2	5	fecal	Rectal	d2_rectal
Fe_d2_20	2	1	fecal	In-feed	d2_in-feed
Fe_d2_21	2	2	fecal	In-feed	d2_in-feed
Fe_d2_22	2	3	fecal	In-feed	d2_in-feed
Fe_d2_23	2	4	fecal	In-feed	d2_in-feed
Fe_d2_24	2	5	fecal	In-feed	d2_in-feed
Fe_d2_25	2	6	fecal	Control	d2_control
Fe_d2_26	2	7	fecal	Control	d2_control
Fe_d2_27	2	8	fecal	Control	d2_control
Fe_d2_28	2	9	fecal	Control	d2_control
Fe_d2_29	2	10	fecal	Control	d2_control
Fe_d2_32	2	6	fecal	Oral	d2_oral
Fe_d2_33	2	7	fecal	Oral	d2_oral
Fe_d2_34	2	8	fecal	Oral	d2_oral
Fe_d2_35	2	9	fecal	Oral	d2_oral
Fe_d2_36	2	10	fecal	Oral	d2_oral
Fe_d2_37	2	6	fecal	Rectal	d2_rectal
Fe_d2_38	2	7	fecal	Rectal	d2_rectal
Fe_d2_39	2	8	fecal	Rectal	d2_rectal
Fe_d2_40	2	9	fecal	Rectal	d2_rectal
Fe_d2_41	2	10	fecal	Rectal	d2_rectal
Fe_d2_44	2	6	fecal	In-feed	d2_in-feed
Fe_d2_45	2	7	fecal	In-feed	d2_in-feed
Fe_d2_46	2	8	fecal	In-feed	d2_in-feed
Fe_d2_47	2	9	fecal	In-feed	d2_in-feed
Fe_d2_48	2	10	fecal	In-feed	d2_in-feed
Fe_d5_2	5	2	fecal	Control	d5_control
Fe_d5_4	5	4	fecal	Control	d5_control
Fe_d5_8	5	1	fecal	Oral	d5_oral
Fe_d5_11	5	4	fecal	Oral	d5_oral
Fe_d5_12	5	5	fecal	Oral	d5_oral
Fe_d5_13	5	1	fecal	Rectal	d5_rectal
Fe_d5_15	5	3	fecal	Rectal	d5_rectal
Fe_d5_21	5	2	fecal	In-feed	d5_in-feed
Fe_d5_23	5	4	fecal	In-feed	d5_in-feed
Fe_d5_25	5	6	fecal	Control	d5_control
Fe_d5_27	5	8	fecal	Control	d5_control
Fe_d5_28	5	9	fecal	Control	d5_control
Fe_d5_33	5	7	fecal	Oral	d5_oral
Fe_d5_34	5	8	fecal	Oral	d5_oral
Fe_d5_37	5	6	fecal	Rectal	d5_rectal
Fe_d5_40	5	9	fecal	Rectal	d5_rectal
Fe_d5_41	5	10	fecal	Rectal	d5_rectal
Fe_d5_44	5	6	fecal	In-feed	d5_in-feed
Fe_d5_46	5	8	fecal	In-feed	d5_in-feed
Fe_d5_48	5	10	fecal	In-feed	d5_in-feed
Fe_d7_2	7	2	fecal	Control	d7_control
Fe_d7_4	7	4	fecal	Control	d7_control
Fe_d7_8	7	1	fecal	Oral	d7_oral
Fe_d7_11	7	4	fecal	Oral	d7_oral
Fe_d7_12	7	5	fecal	Oral	d7_oral
Fe_d7_13	7	1	fecal	Rectal	d7_rectal
Fe_d7_15	7	3	fecal	Rectal	d7_rectal
Fe_d7_21	7	2	fecal	In-feed	d7_in-feed
Fe_d7_23	7	4	fecal	In-feed	d7_in-feed
Fe_d7_25	7	6	fecal	Control	d7_control
Fe_d7_27	7	8	fecal	Control	d7_control
Fe_d7_28	7	9	fecal	Control	d7_control
Fe_d7_33	7	7	fecal	Oral	d7_oral
Fe_d7_34	7	8	fecal	Oral	d7_oral
Fe_d7_37	7	6	fecal	Rectal	d7_rectal
Fe_d7_40	7	9	fecal	Rectal	d7_rectal
Fe_d7_41	7	10	fecal	Rectal	d7_rectal
Fe_d7_44	7	6	fecal	In-feed	d7_in-feed
Fe_d7_46	7	8	fecal	In-feed	d7_in-feed
Fe_d7_48	7	10	fecal	In-feed	d7_in-feed
Cec_1	4	1	cecal	Control	d4_control_cec
Cec_3	4	3	cecal	Control	d4_control_cec
Cec_5	4	5	cecal	Control	d4_control_cec
Cec_9	4	2	cecal	Oral	d4_oral_cec
Cec_10	4	3	cecal	Oral	d4_oral_cec
Cec_14	4	2	cecal	Rectal	d4_rectal_cec
Cec_16	4	4	cecal	Rectal	d4_rectal_cec
Cec_17	4	5	cecal	Rectal	d4_rectal_cec
Cec_20	4	1	cecal	In-feed	d4_in-feed_cec
Cec_22	4	3	cecal	In-feed	d4_in-feed_cec
Cec_24	4	5	cecal	In-feed	d4_in-feed_cec
Cec_26	4	7	cecal	Control	d4_control_cec
Cec_29	4	10	cecal	Control	d4_control_cec
Cec_32	4	6	cecal	Oral	d4_oral_cec
Cec_35	4	9	cecal	Oral	d4_oral_cec
Cec_36	4	10	cecal	Oral	d4_oral_cec
Cec_38	4	7	cecal	Rectal	d4_rectal_cec
Cec_45	4	7	cecal	In-feed	d4_in-feed_cec
Cec_39	4	8	cecal	Rectal	d4_rectal_cec
Cec_47	4	9	cecal	In-feed	d4_in-feed_cec
F_cec_2	8	2	cecal	Control	d8_control_cec
F_cec_4	8	4	cecal	Control	d8_control_cec
F_cec_8	8	1	cecal	Oral	d8_oral_cec
F_cec_11	8	4	cecal	Oral	d8_oral_cec
F_cec_12	8	5	cecal	Oral	d8_oral_cec
F_cec_13	8	1	cecal	Rectal	d8_rectal_cec
F_cec_15	8	3	cecal	Rectal	d8_rectal_cec
F_cec_21	8	2	cecal	In-feed	d8_in-feed_cec
F_cec_23	8	4	cecal	In-feed	d8_in-feed_cec
F_cec_25	8	6	cecal	Control	d8_control_cec
F_cec_27	8	8	cecal	Control	d8_control_cec
F_cec_28	8	9	cecal	Control	d8_control_cec
F_cec_33	8	7	cecal	Oral	d8_oral_cec
F_cec_34	8	8	cecal	Oral	d8_oral_cec
F_cec_37	8	6	cecal	Rectal	d8_rectal_cec
F_cec_40	8	9	cecal	Rectal	d8_rectal_cec
F_cec_41	8	10	cecal	Rectal	d8_rectal_cec
F_cec_44	8	6	cecal	In-feed	d8_in-feed_cec
F_cec_46	8	8	cecal	In-feed	d8_in-feed_cec
F_cec_48	8	10	cecal	In-feed	d8_in-feed_cec
Col_1	4	1	colon	Control	d4_control_col
Col_3	4	3	colon	Control	d4_control_col
Col_5	4	5	colon	Control	d4_control_col
Col_9	4	2	colon	Oral	d4_oral_col
Col_10	4	3	colon	Oral	d4_oral_col
Col_14	4	2	colon	Rectal	d4_rectal_col
Col_16	4	4	colon	Rectal	d4_rectal_col
Col_17	4	5	colon	Rectal	d4_rectal_col
Col_20	4	1	colon	In-feed	d4_in-feed_col
Col_22	4	3	colon	In-feed	d4_in-feed_col
Col_24	4	5	colon	In-feed	d4_in-feed_col
Col_26	4	7	colon	Control	d4_control_col
Col_29	4	10	colon	Control	d4_control_col
Col_32	4	6	colon	Oral	d4_oral_col
Col_35	4	9	colon	Oral	d4_oral_col
Col_36	4	10	colon	Oral	d4_oral_col
Col_38	4	7	colon	Rectal	d4_rectal_col
Col_39	4	8	colon	Rectal	d4_rectal_col
Col_45	4	7	colon	In-feed	d4_in-feed_col
Col_47	4	9	colon	In-feed	d4_in-feed_col
F_col_2	8	2	colon	Control	d8_control_col
F_Col_4	8	4	colon	Control	d8_control_col
F_Col_8	8	1	colon	Oral	d8_oral_col
F_Col_11	8	4	colon	Oral	d8_oral_col
F_Col_12	8	5	colon	Oral	d8_oral_col
F_Col_13	8	1	colon	Rectal	d8_rectal_col
F_Col_15	8	3	colon	Rectal	d8_rectal_col
F_Col_21	8	2	colon	In-feed	d8_in-feed_col
F_Col_23	8	4	colon	In-feed	d8_in-feed_col
F_Col_25	8	6	colon	Control	d8_control_col
F_Col_27	8	8	colon	Control	d8_control_col
F_Col_28	8	9	colon	Control	d8_control_col
F_Col_33	8	7	colon	Oral	d8_oral_col
F_Col_34	8	8	colon	Oral	d8_oral_col
F_Col_37	8	6	colon	Rectal	d8_rectal_col
F_Col_40	8	9	colon	Rectal	d8_rectal_col
F_Col_41	8	10	colon	Rectal	d8_rectal_col
F_Col_44	8	6	colon	In-feed	d8_in-feed_col
F_Col_46	8	8	colon	In-feed	d8_in-feed_col
F_Col_48	8	10	colon	In-feed	d8_in-feed_col
Donor_1	Donor	1	fecal	Donor	Donor
Donor_2	Donor	2	fecal	Donor	Donor
Donor_3	Donor	3	fecal	Donor	Donor
Donor_4	Donor	4	fecal	Donor	Donor
Donor_comb	Donor	5	fecal	Donor	Donor
Donor_lyo	Donor	6	fecal	Donor	Donor
